Customer_ID,Name,Age,Annual_Income,Education_Level,Occupation,City,Customer_Reviews,Purchase_Frequency,Product_Category,Target_Variable
CUST0001,Customer_1,64.0,77964.61,Bachelor,Engineer,Phoenix,Amazing! Highly recommended. *&,11,,High
CUST0002,Customer_2,24.0,68414.99,High School,,Chicago,"Decent quality, but shipping took too long. ##*",17,Books,Low
CUST0003,Customer_3,66.0,93824.94,High School,Engineer,Los Angeles,"It's okay, not the best, but does the job. %!",2,Toys,Low
CUST0004,Customer_4,31.0,39551.43,PhD,Engineer,Houston,Great product! Would definitely buy again. ~^#,29,,Low
CUST0005,Customer_5,19.0,41216.05,Bachelor,Teacher,New York,"Decent quality, but shipping took too long. $#&",16,Clothing,Medium
CUST0006,Customer_6,61.0,71787.74,Bachelor,Scientist,Phoenix,"The packaging was damaged, but the product is fine. &",21,Electronics,Medium
CUST0007,Customer_7,36.0,82660.19,Bachelor,Artist,Phoenix,"Decent quality, but shipping took too long. ~@!",2,Books,Low
CUST0008,Customer_8,39.0,115112.54,Bachelor,Engineer,New York,Worst purchase I've made. Very disappointed! #$^,6,Books,Medium
CUST0009,Customer_9,68.0,43230.66,Bachelor,Engineer,Chicago,Customer service was very helpful! ~~#,28,Home Appliances,High
CUST0010,Customer_10,20.0,42934.95,Bachelor,Doctor,Los Angeles,Worst purchase I've made. Very disappointed! ##^,20,Electronics,High
CUST0011,Customer_11,66.0,56017.62,PhD,Engineer,Houston,Terrible experience. Never shopping here again! @^,7,,Low
CUST0012,Customer_12,59.0,47756.37,High School,Doctor,Chicago,Customer service was very helpful! #%,28,Books,Low
CUST0013,Customer_13,69.0,53806.06,PhD,Artist,New York,Not what I expected... could be better. **,17,Home Appliances,Medium
CUST0014,Customer_14,23.0,54849.45,Master,Lawyer,Phoenix,Love it! Perfect for my needs. ^,28,Books,Medium
CUST0015,Customer_15,64.0,40268.4,Master,Doctor,New York,Great product! Would definitely buy again. !#*,13,Home Appliances,High
CUST0016,Customer_16,67.0,98149.66,Bachelor,Lawyer,New York,Great product! Would definitely buy again. *,9,Home Appliances,Medium
CUST0017,Customer_17,27.0,119038.4,PhD,Doctor,Houston,"It's okay, not the best, but does the job. ^*!",26,Home Appliances,Medium
CUST0018,Customer_18,22.0,83015.83,PhD,Scientist,Los Angeles,Not what I expected... could be better. ~$~,17,Home Appliances,Low
CUST0019,Customer_19,34.0,65295.08,High School,Scientist,Houston,Not what I expected... could be better. $%,16,Toys,Medium
CUST0020,Customer_20,35.0,73603.15,PhD,Engineer,Los Angeles,Amazing! Highly recommended. %!,16,Books,Low
CUST0021,Customer_21,35.0,44677.27,PhD,Artist,Los Angeles,Worst purchase I've made. Very disappointed! !&,2,Books,High
CUST0022,Customer_22,49.0,98312.95,PhD,Teacher,Los Angeles,Worst purchase I've made. Very disappointed! ~,16,,High
CUST0023,Customer_23,27.0,93924.09,Bachelor,Artist,Los Angeles,Love it! Perfect for my needs. &&^,9,Toys,Low
CUST0024,Customer_24,21.0,49889.94,High School,Scientist,Los Angeles,Terrible experience. Never shopping here again! #&&,2,Clothing,Low
CUST0025,Customer_25,28.0,,Bachelor,Teacher,Los Angeles,Not what I expected... could be better. ^~,4,Books,Low
CUST0026,Customer_26,53.0,103478.21,PhD,Lawyer,New York,Terrible experience. Never shopping here again! !*%,9,Home Appliances,Medium
CUST0027,Customer_27,,88239.91,PhD,Engineer,Los Angeles,Love it! Perfect for my needs. @%%,4,Books,High
CUST0028,Customer_28,22.0,61292.65,PhD,Artist,Chicago,Worst purchase I've made. Very disappointed! %%,9,Books,High
CUST0029,Customer_29,49.0,116367.41,Master,Engineer,New York,Great product! Would definitely buy again. %@&,17,Books,Low
CUST0030,Customer_30,23.0,22161.29,Bachelor,Engineer,Los Angeles,Love it! Perfect for my needs. *^,16,Home Appliances,High
CUST0031,Customer_31,30.0,69376.98,High School,Scientist,Chicago,Terrible experience. Never shopping here again! !,1,Books,Medium
CUST0032,Customer_32,70.0,86656.16,Bachelor,Lawyer,Chicago,"The packaging was damaged, but the product is fine. *",11,Electronics,Medium
CUST0033,Customer_33,36.0,78754.81,Bachelor,Scientist,Chicago,"It's okay, not the best, but does the job. #",1,Books,Low
CUST0034,Customer_34,26.0,117484.81,High School,Engineer,Chicago,Terrible experience. Never shopping here again! !%@,3,Clothing,High
CUST0035,Customer_35,52.0,94409.26,,Scientist,Phoenix,"It's okay, not the best, but does the job. ~",13,Home Appliances,High
CUST0036,Customer_36,27.0,94184.43,High School,Scientist,Los Angeles,Customer service was very helpful! %,11,Books,Medium
CUST0037,Customer_37,40.0,52700.05,High School,Engineer,Los Angeles,Amazing! Highly recommended. ^,9,Home Appliances,Low
CUST0038,Customer_38,64.0,80647.89,PhD,Doctor,Phoenix,Great product! Would definitely buy again. #%$,28,,Medium
CUST0039,Customer_39,55.0,78620.57,High School,Artist,Houston,"Decent quality, but shipping took too long. *&#",23,Clothing,Low
CUST0040,Customer_40,20.0,53459.67,High School,Lawyer,Houston,Worst purchase I've made. Very disappointed! $,7,Home Appliances,Low
CUST0041,Customer_41,29.0,27154.4,Bachelor,,New York,Love it! Perfect for my needs. !,29,,Low
CUST0042,Customer_42,,101612.9,PhD,Engineer,Chicago,"The packaging was damaged, but the product is fine. @%&",27,Clothing,Low
CUST0043,Customer_43,,113893.54,PhD,Artist,Chicago,"Decent quality, but shipping took too long. %#",1,Clothing,Medium
CUST0044,Customer_44,19.0,48899.44,Bachelor,Lawyer,Chicago,Love it! Perfect for my needs. $!,10,Books,Low
CUST0045,Customer_45,58.0,27474.83,Master,Artist,Phoenix,Customer service was very helpful! &#,3,Electronics,Medium
CUST0046,Customer_46,67.0,62174.14,PhD,Lawyer,Phoenix,Worst purchase I've made. Very disappointed! $^,26,Toys,Medium
CUST0047,Customer_47,52.0,93302.21,PhD,Artist,Chicago,"It's okay, not the best, but does the job. $$%",21,Clothing,High
CUST0048,Customer_48,48.0,63098.24,Master,Teacher,Houston,"Decent quality, but shipping took too long. **$",15,Home Appliances,Low
CUST0049,Customer_49,22.0,73677.21,Bachelor,,Los Angeles,"The packaging was damaged, but the product is fine. $#",3,Home Appliances,Low
CUST0050,Customer_50,31.0,80233.54,,Artist,New York,"The packaging was damaged, but the product is fine. #$@",9,Home Appliances,Medium
CUST0051,Customer_51,,96254.52,,Engineer,Los Angeles,Amazing! Highly recommended. #$,18,Clothing,High
CUST0052,Customer_52,63.0,,PhD,Scientist,Phoenix,Love it! Perfect for my needs. ^$!,21,Home Appliances,Low
CUST0053,Customer_53,69.0,44276.83,High School,Scientist,Los Angeles,Great product! Would definitely buy again. %^^,12,Electronics,Low
CUST0054,Customer_54,62.0,50163.04,Master,Scientist,Los Angeles,Not what I expected... could be better. !,14,Electronics,Medium
CUST0055,Customer_55,57.0,59236.39,PhD,,Houston,Love it! Perfect for my needs. *&%,3,Books,High
CUST0056,Customer_56,65.0,90179.14,High School,Doctor,Houston,"Decent quality, but shipping took too long. !@%",12,Electronics,Medium
CUST0057,Customer_57,47.0,20131.03,High School,Artist,Chicago,Great product! Would definitely buy again. &,18,Toys,High
CUST0058,Customer_58,21.0,65665.59,High School,Teacher,Chicago,"It's okay, not the best, but does the job. ^*^",27,Home Appliances,Medium
CUST0059,Customer_59,56.0,96754.88,PhD,Engineer,New York,"The packaging was damaged, but the product is fine. &",21,Electronics,High
CUST0060,Customer_60,23.0,95778.39,Master,Engineer,Phoenix,"The packaging was damaged, but the product is fine. ^",18,Clothing,Medium
CUST0061,Customer_61,20.0,64421.78,High School,Engineer,Phoenix,Customer service was very helpful! $,9,Home Appliances,Low
CUST0062,Customer_62,36.0,72376.25,High School,Scientist,Phoenix,"The packaging was damaged, but the product is fine. &$%",8,,High
CUST0063,Customer_63,59.0,92140.49,PhD,Teacher,New York,Worst purchase I've made. Very disappointed! *,28,Clothing,High
CUST0064,Customer_64,21.0,25640.69,PhD,Scientist,Phoenix,Not what I expected... could be better. ~$~,1,,Low
CUST0065,Customer_65,36.0,76688.06,Bachelor,Artist,Los Angeles,Customer service was very helpful! ^,8,Clothing,Medium
CUST0066,Customer_66,36.0,76048.3,Master,Artist,New York,Customer service was very helpful! ^^,27,Electronics,Medium
CUST0067,Customer_67,52.0,30460.25,High School,Scientist,Los Angeles,Great product! Would definitely buy again. $,19,Toys,Low
CUST0068,Customer_68,59.0,92876.22,PhD,Engineer,Los Angeles,Love it! Perfect for my needs. !,7,Clothing,Medium
CUST0069,Customer_69,56.0,33146.03,Bachelor,Teacher,Phoenix,Customer service was very helpful! @&~,29,Clothing,Medium
CUST0070,Customer_70,22.0,34365.24,Bachelor,Artist,Chicago,"Decent quality, but shipping took too long. !#",21,Home Appliances,Low
CUST0071,Customer_71,55.0,35344.78,Bachelor,Artist,Houston,Terrible experience. Never shopping here again! $,19,Electronics,Medium
CUST0072,Customer_72,48.0,,PhD,Lawyer,Phoenix,"The packaging was damaged, but the product is fine. *^",12,Clothing,Medium
CUST0073,Customer_73,38.0,118980.86,High School,Lawyer,New York,Great product! Would definitely buy again. &$,30,Electronics,High
CUST0074,Customer_74,26.0,101823.86,Bachelor,Lawyer,Los Angeles,Great product! Would definitely buy again. &^^,16,Clothing,Low
CUST0075,Customer_75,66.0,81490.91,Bachelor,Artist,Los Angeles,Love it! Perfect for my needs. ^*&,28,Clothing,Low
CUST0076,Customer_76,32.0,45381.45,High School,Artist,New York,"Decent quality, but shipping took too long. %",10,Toys,Low
CUST0077,Customer_77,58.0,32542.3,High School,Lawyer,New York,Customer service was very helpful! %,25,Home Appliances,Low
CUST0078,Customer_78,35.0,81408.83,High School,Artist,Los Angeles,"The packaging was damaged, but the product is fine. *!@",23,Clothing,Low
CUST0079,Customer_79,58.0,73011.89,PhD,Engineer,Houston,"Decent quality, but shipping took too long. !#&",16,Home Appliances,Medium
CUST0080,Customer_80,41.0,,PhD,Scientist,Los Angeles,Great product! Would definitely buy again. ~~,21,Toys,Low
CUST0081,Customer_81,31.0,48553.64,High School,Teacher,Chicago,Terrible experience. Never shopping here again! ~^,17,Toys,Low
CUST0082,Customer_82,57.0,62189.23,Master,Scientist,Chicago,,28,Books,High
